url,status,contentType,title
"_includes\site-header.html",200,"text/html",""
"404.html",200,"text/html",""
"about.html",200,"text/html",""
"archive\index-variant-1.html",200,"text/html","C2C Variations — Docs done. Jobs won."
"archive\index.homefix.html",200,"text/html","C2C Variations — Docs done. Jobs won."
"archive\index2.html",200,"text/html","C2C Variations — Docs done. Jobs won."
"docs.html",200,"text/html",""
"field-intel.html",200,"text/html","C2C Variations — Field Intel"
"index.html",200,"text/html",""
"partners.html",200,"text/html",""
"pricing.html",200,"text/html",""
"privacy.html",200,"text/html",""
"resources.html",200,"text/html","Resources — C2C"
"site\404.html",200,"text/html",""
"site\about.html",200,"text/html",""
"site\docs.html",200,"text/html",""
"site\index.html",200,"text/html",""
"site\partners.html",200,"text/html",""
"site\pricing.html",200,"text/html","C2C Variations — Pricing"
"site\privacy.html",200,"text/html",""
"site\resources.html",200,"text/html","Resources — C2C"
"site\terms.html",200,"text/html",""
"terms.html",200,"text/html",""
"test.html",200,"text/html","C2C deploy test"
"testimonials.html",200,"text/html",""
